,vor_id,sum_pop_elderly,sum_pop_youth,sum_pop_general,sum_pop_women,sum_pop,min_pop,max_pop
131,vor271,1834.1248800000003,8527.0108,35989.415140000005,16914.309019999993,21394.46875,20.43998146057129,128.52687072753906
132,vor272,2597.39424,12075.5184,50966.37672000002,23953.182959999995,33097.859375,56.65888977050781,148.1276397705078
133,vor273,2081.333016,9676.30356,40840.162398000015,19194.063714,37312.3125,66.49535369873047,146.64109802246094
134,vor274,1986.778752,9236.71232,38984.80745600002,18322.083808,46549.46875,86.97469329833984,153.35916137695312
135,vor275,1179.08028,5481.649800000001,23136.052590000007,10873.48437,34580.8515625,59.65093994140625,143.48316955566406
136,vor276,1967.412216,9146.67556,38604.79499800001,18143.485514,37265.98046875,61.4630126953125,148.42547607421875
137,vor277,2334.237192,10852.07772,45802.67802600001,21526.347318,46372.38671875,104.53270721435548,154.83676147460938
138,vor278,1479.831192,6879.86772,29037.422526000013,13647.010817999995,44631.171875,97.01050567626952,154.5894012451172
139,vor279,1400.086632,6509.128119999999,27472.665346,12911.606078,41004.6640625,77.7224349975586,149.4393310546875
140,vor280,1709.9512079999995,7949.71628,33552.864674000004,15769.178782,40854.40625,80.57272338867188,150.4818115234375
141,vor281,2159.239432,10038.909984000002,42368.704746,19913.13547,38563.94921875,86.27498626708984,144.1504364013672
142,vor282,3876.374936,18128.56000200001,76024.69315800001,35908.266919999995,33778.9375,70.71936798095703,127.36578369140624
143,vor283,2966.535824,13876.051028000002,58179.74637200001,27483.86916,39026.625,66.78728485107422,145.52249145507812
144,vor284,628.373564,2943.0738329999995,12322.307967,5827.40696,12043.146484375,9.95767307281494,95.89645385742188
145,vor290,1558.436544,7245.31104,30579.826032000004,14371.909775999997,22460.38671875,13.30140495300293,126.78433990478516
146,vor291,2821.818216,13118.885560000002,55370.05049800002,26022.822013999998,29688.15625,25.52768898010254,131.34693908691406
147,vor292,1545.905256,7187.05196,30333.935618000003,14256.346173999998,29242.1953125,25.09993934631348,125.2996063232422
148,vor293,2421.956208,11259.89128,47523.91092400002,22335.292532,28243.83984375,42.44108200073242,129.45481872558594
149,vor294,2349.0468960000007,10920.929360000002,46093.275788000006,21662.922483999995,27920.671875,43.68881988525391,128.54374694824222
150,vor295,2268.163128,10544.89348,44506.16493400001,20917.011962,32782.64453125,38.14694213867188,132.65884399414062
151,vor296,1805.64468,8394.6038,35430.573290000015,16651.664469999996,33944.0234375,48.23440933227539,131.83070373535156
152,vor297,2415.12096,11228.1136,47389.78888000001,22272.257839999995,41433.765625,82.72404479980469,148.4818572998047
