vor_id,res_value_sqyard,com_value_sqyard
vor624,12000.0,12000.0
vor625,12000.0,12000.0
vor626,12000.0,12000.0
vor627,12000.0,12000.0
vor628,12000.0,12000.0
vor629,12000.0,12000.0
vor630,12000.0,12000.0
vor631,12000.0,12000.0
vor632,12000.0,12000.0
vor633,12000.0,12000.0
vor634,12000.0,12000.0
vor635,12000.0,12000.0
vor636,12000.0,12000.0
vor637,12000.0,12000.0
vor638,12000.0,12000.0
vor639,12000.0,12000.0
vor640,12000.0,12000.0
vor641,12000.0,12000.0
vor642,12000.0,12000.0
vor643,3600.0,5400.0
vor644,3600.0,5400.0
vor645,3600.0,5400.0
vor646,3600.0,5400.0
vor647,3600.0,5400.0
vor648,3600.0,5400.0
vor649,3600.0,5400.0
vor650,3600.0,5400.0
vor651,3600.0,5400.0
vor652,24000.0,42000.0
vor653,12000.0,12000.0
vor654,12000.0,12000.0
vor655,12000.0,12000.0
vor656,12000.0,12000.0
vor657,12000.0,12000.0
vor658,12000.0,12000.0
vor659,12000.0,12000.0
vor660,12000.0,12000.0
vor661,12000.0,12000.0
vor662,12000.0,12000.0
vor663,12000.0,12000.0
vor664,12000.0,12000.0
vor665,12000.0,12000.0
vor666,12000.0,12000.0
vor667,12000.0,12000.0
vor668,12000.0,12000.0
vor669,12000.0,12000.0
vor670,12000.0,12000.0
vor671,12000.0,12000.0
vor672,12000.0,12000.0
vor673,12000.0,12000.0
vor674,12000.0,12000.0
vor675,12000.0,12000.0
vor676,12000.0,12000.0
vor677,12000.0,12000.0
vor678,12000.0,12000.0
vor679,12000.0,12000.0
vor680,12000.0,12000.0
vor681,12000.0,12000.0
vor682,12000.0,12000.0
vor683,12000.0,12000.0
vor684,12000.0,12000.0
vor685,12000.0,12000.0
vor686,12000.0,12000.0
vor687,12000.0,12000.0
vor688,12000.0,12000.0
vor689,12000.0,12000.0
vor690,12000.0,12000.0
vor691,3600.0,5400.0
vor692,3600.0,5400.0
vor693,3600.0,5400.0
vor694,3600.0,5400.0
vor695,3600.0,5400.0
vor696,3600.0,5400.0
vor697,3600.0,5400.0
vor698,3600.0,5400.0
vor699,3600.0,5400.0
