area,res_value_marla,com_value_marla,address
STATE INTER PRIZE SOCIETY,"296,400","656,700","STATE+INTER+PRIZE+SOCIETY,LAHORE+,PAKISTAN"
SUI NORTHEN GAS OFFICERS COOP SOCIETY,"238,800","473,400","SUI+NORTHEN+GAS+OFFICERS+COOP+SOCIETY,LAHORE+,PAKISTAN"
SUKH CHAIN SOCIETY,"550,800","832,500","SUKH+CHAIN+SOCIETY,LAHORE+,PAKISTAN"
SULTAN TOWN,"452,400","703,800","SULTAN+TOWN,LAHORE+,PAKISTAN"
SULTANPURA,"194,070","294,300","SULTANPURA,LAHORE+,PAKISTAN"
SUN FLOWER SCHEME,"413,700","827,400","SUN+FLOWER+SCHEME,LAHORE+,PAKISTAN"
SUNNY VIEW COOP SOCIETY,"285,900","469,200","SUNNY+VIEW+COOP+SOCIETY,LAHORE+,PAKISTAN"
SUPPER MARKET (THOKAR AND KING MARKET),-,"1,022,400","SUPPER+MARKET+(THOKAR+AND+KING+MARKET),LAHORE+,PAKISTAN"
TANVEER PARK,"392,250","967,800","TANVEER+PARK,LAHORE+,PAKISTAN"
TECH SOCIETY,"850,200","1,315,200","TECH+SOCIETY,LAHORE+,PAKISTAN"
THOKAR TO SHAUKAT KHANUM,"601,200","1,210,800","THOKAR+TO+SHAUKAT+KHANUM,LAHORE+,PAKISTAN"
TOUHEED PARK,"435,150","989,250","TOUHEED+PARK,LAHORE+,PAKISTAN"
TOWNSHIP INDUSTRIAL AREA (QUAID E AZAM,-,"878,700","TOWNSHIP+INDUSTRIAL+AREA+(QUAID+E+AZAM,LAHORE+,PAKISTAN"
PASCO EMPLOYEES SOCIETY,"576,000","2,880,000","PASCO+EMPLOYEES+SOCIETY,LAHORE+,PAKISTAN"
TRICON VILLAGE (CHUNG PUNJGRAN),"580,200","1,100,700","TRICON+VILLAGE+(CHUNG+PUNJGRAN),LAHORE+,PAKISTAN"
UMAR GARDEN,"409,500","823,200","UMAR+GARDEN,LAHORE+,PAKISTAN"
WAPDA TOWN,"504,000","1,080,600","WAPDA+TOWN,LAHORE+,PAKISTAN"
WARIS COLONY NIAZ BEG,"403,200","763,200","WARIS+COLONY+NIAZ+BEG,LAHORE+,PAKISTAN"
WESTWOOD COLONY,"628,200","1,080,600","WESTWOOD+COLONY,LAHORE+,PAKISTAN"
