area,res_value_marla,com_value_marla,address
FAZAL PARK BELA BASTI RAM,"778,440","754,830","FAZAL+PARK+BELA+BASTI+RAM,LAHORE+,PAKISTAN"
G.T. ROAD SITUATED IN SHALAMAR TOWN,"1,107,780","1,132,246","G.T.+ROAD+SITUATED+IN+SHALAMAR+TOWN,LAHORE+,PAKISTAN"
GHARAY SHAH ROAD,"1,497,000","815,216","GHARAY+SHAH+ROAD,LAHORE+,PAKISTAN"
GHULAM HUSSAIN PARK,"778,440","754,830","GHULAM+HUSSAIN+PARK,LAHORE+,PAKISTAN"
GUJJAR PURA CHINA SCHEME,"435,600","883,151","GUJJAR+PURA+CHINA+SCHEME,LAHORE+,PAKISTAN"
GUNJ,"808,380","694,444","GUNJ,LAHORE+,PAKISTAN"
HAQ NAWAZ ROAD,"1,826,340","981,280","HAQ+NAWAZ+ROAD,LAHORE+,PAKISTAN"
HUSSAIN PARK,"778,440","754,830","HUSSAIN+PARK,LAHORE+,PAKISTAN"
IMAM BUKSH PARK (BELA BASTI RAM),"778,440","754,830","IMAM+BUKSH+PARK+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
IQBAL PARK KHOL MIRAN,"778,440","754,830","IQBAL+PARK+KHOL+MIRAN,LAHORE+,PAKISTAN"
KACCHU PURA,"778,440","709,541","KACCHU+PURA,LAHORE+,PAKISTAN"
KHIZAR ABAD NEW BAGHBANPURA,"658,680","709,541","KHIZAR+ABAD+NEW+BAGHBANPURA,LAHORE+,PAKISTAN"
KHOL MIRAN & ADJOINING AREAAS,"1,017,960","981,280","KHOL+MIRAN+&+ADJOINING+AREAAS,LAHORE+,PAKISTAN"
KHOKHAR ROAD,"2,125,740","1,071,859","KHOKHAR+ROAD,LAHORE+,PAKISTAN"
KOT KHAWAJA SAEED & ADJOINING AREAS,"568,860","709,541","KOT+KHAWAJA+SAEED+&+ADJOINING+AREAS,LAHORE+,PAKISTAN"
KOT KHAWAJA SAEED (WESTERN SIDE),"374,250","467,995","KOT+KHAWAJA+SAEED+(WESTERN+SIDE),LAHORE+,PAKISTAN"
KOTLI PEER ABDUL REHMAN,"598,800","498,188","KOTLI+PEER+ABDUL+REHMAN,LAHORE+,PAKISTAN"
MAIN BAZAR MUJAHID ABAD,"1,017,960","875,603","MAIN+BAZAR+MUJAHID+ABAD,LAHORE+,PAKISTAN"
MAIN BAZAR SHAHWARI,"1,017,960","875,603","MAIN+BAZAR+SHAHWARI,LAHORE+,PAKISTAN"
MAKHAN PURA,"748,500","709,541","MAKHAN+PURA,LAHORE+,PAKISTAN"
MEHR SUBA PARK,"778,440","724,637","MEHR+SUBA+PARK,LAHORE+,PAKISTAN"
MISRI SHAH,"1,047,900","981,280","MISRI+SHAH,LAHORE+,PAKISTAN"
MUHAMMADI MOHALLAH,"898,200","883,151","MUHAMMADI+MOHALLAH,LAHORE+,PAKISTAN"
MUHAMMADI PARK,"778,440","724,637","MUHAMMADI+PARK,LAHORE+,PAKISTAN"
MUJAHID ABAD,"778,440","709,541","MUJAHID+ABAD,LAHORE+,PAKISTAN"
NABI BAKSH PARK,"778,440","754,830","NABI+BAKSH+PARK,LAHORE+,PAKISTAN"
NAULAKHA & ADJOINING AREAS,"1,047,900","890,700","NAULAKHA+&+ADJOINING+AREAS,LAHORE+,PAKISTAN"
NEW MALIK PARK,"778,440","717,089","NEW+MALIK+PARK,LAHORE+,PAKISTAN"
NEW SHAD BAGH,"778,440","717,089","NEW+SHAD+BAGH,LAHORE+,PAKISTAN"
NEW WASAN PURA SCHEME NO. 2,"778,440","717,089","NEW+WASAN+PURA+SCHEME+NO.+2,LAHORE+,PAKISTAN"
RAHIM PARK BELA BASTI RAM,"958,080","890,700","RAHIM+PARK+BELA+BASTI+RAM,LAHORE+,PAKISTAN"
RAM KISHANWALA,"778,440","724,637","RAM+KISHANWALA,LAHORE+,PAKISTAN"
RASHID PURA BAGHBANPURA,"658,680","709,541","RASHID+PURA+BAGHBANPURA,LAHORE+,PAKISTAN"
SAHOWARII,"778,440","634,057","SAHOWARII,LAHORE+,PAKISTAN"
SALEEM PARK KOHI MIRAN,"868,260","800,120","SALEEM+PARK+KOHI+MIRAN,LAHORE+,PAKISTAN"
SAWAMI NAGAR,"838,320","724,637","SAWAMI+NAGAR,LAHORE+,PAKISTAN"
SEHAR ROAD,"928,140","875,603","SEHAR+ROAD,LAHORE+,PAKISTAN"
SHAD BAGH,"838,320","785,023","SHAD+BAGH,LAHORE+,PAKISTAN"
DARS ROAD,"928,140","875,603","DARS+ROAD,LAHORE+,PAKISTAN"
SHAHEEN PARK,"778,440","754,830","SHAHEEN+PARK,LAHORE+,PAKISTAN"
SHAHLIMAR LINK ROAD (REAR),"1,047,900","573,671","SHAHLIMAR+LINK+ROAD+(REAR),LAHORE+,PAKISTAN"
SHALIMAR LINK ROAD (FRONT),"1,826,340","920,893","SHALIMAR+LINK+ROAD+(FRONT),LAHORE+,PAKISTAN"
SHALIMAR TOWN BAGHBANPURA,"598,800","709,541","SHALIMAR+TOWN+BAGHBANPURA,LAHORE+,PAKISTAN"
SHER SHAH ROAD,"988,020","875,603","SHER+SHAH+ROAD,LAHORE+,PAKISTAN"
SINGH PURA,"748,500","709,541","SINGH+PURA,LAHORE+,PAKISTAN"
SIRAJ DIN PARK,"778,440","754,830","SIRAJ+DIN+PARK,LAHORE+,PAKISTAN"
SULTAN MEHMOOD ROAD,"898,200","875,603","SULTAN+MEHMOOD+ROAD,LAHORE+,PAKISTAN"
SULTAN PURA,"778,440","785,023","SULTAN+PURA,LAHORE+,PAKISTAN"
SULTAN PURA ROAD .,"1,556,880","785,023","SULTAN+PURA+ROAD+.,LAHORE+,PAKISTAN"
TAJ PARK V TAJ GHAZI PARK,"778,440","754,830","TAJ+PARK+V+TAJ+GHAZI+PARK,LAHORE+,PAKISTAN"
TAJ PURA,"868,260","709,541","TAJ+PURA,LAHORE+,PAKISTAN"
TEZAB AHATA,"778,440","724,637","TEZAB+AHATA,LAHORE+,PAKISTAN"
TEZAB AHATA ROAD,"1,556,880","785,023","TEZAB+AHATA+ROAD,LAHORE+,PAKISTAN"
TIBBAAZEEM SHAH,"778,440","724,637","TIBBAAZEEM+SHAH,LAHORE+,PAKISTAN"
TOUHEED PARK,"778,440","754,830","TOUHEED+PARK,LAHORE+,PAKISTAN"
UMER DIN ROAD MAUZA BELA BASTI RAM,"1,646,700","830,314","UMER+DIN+ROAD+MAUZA+BELA+BASTI+RAM,LAHORE+,PAKISTAN"
WAITMEN ROAD (NEW),"748,500","709,541","WAITMEN+ROAD+(NEW),LAHORE+,PAKISTAN"
WASSAN PURA,"778,440","785,023","WASSAN+PURA,LAHORE+,PAKISTAN"
YAHYA COLONY,"778,440","724,637","YAHYA+COLONY,LAHORE+,PAKISTAN"
YASRAB COLONY RAM KISHANWALA,"778,440","724,637","YASRAB+COLONY+RAM+KISHANWALA,LAHORE+,PAKISTAN"
ZAFAR PARK,"778,440","724,637","ZAFAR+PARK,LAHORE+,PAKISTAN"
SHAD BAGH ROAD,"928,140","890,700","SHAD+BAGH+ROAD,LAHORE+,PAKISTAN"
ABDULLAH GARDEN,"201,600","302,400","ABDULLAH+GARDEN,LAHORE+,PAKISTAN"
AHMED TOWN SHADI PURA,"158,400","259,200","AHMED+TOWN+SHADI+PURA,LAHORE+,PAKISTAN"
AL KARIM GARDEN,"201,600","302,400","AL+KARIM+GARDEN,LAHORE+,PAKISTAN"
AL AHMED GARDEN GT ROAD,"201,600","302,400","AL+AHMED+GARDEN+GT+ROAD,LAHORE+,PAKISTAN"
"AL GHANI GARDEN, GT ROAD ALL PHASES","201,600","302,400","AL+GHANI+GARDEN,+GT+ROAD+ALL+PHASES,LAHORE+,PAKISTAN"
ALI ALAM GARDEN,"201,600","302,400","ALI+ALAM+GARDEN,LAHORE+,PAKISTAN"
AL RAHEEM GARDEN ALL PHASE,"201,600","302,400","AL+RAHEEM+GARDEN+ALL+PHASE,LAHORE+,PAKISTAN"
AL REHMAN GARDEN ALL PHASE,"201,600","302,400","AL+REHMAN+GARDEN+ALL+PHASE,LAHORE+,PAKISTAN"
ASHRIF GARDEN ALL PHASES,"216,000","302,400","ASHRIF+GARDEN+ALL+PHASES,LAHORE+,PAKISTAN"
ASID GARDEN,"187,200","302,400","ASID+GARDEN,LAHORE+,PAKISTAN"
AZIZ GARDEN,"180,000","259,200","AZIZ+GARDEN,LAHORE+,PAKISTAN"
CANAL BANK SCHEME,"237,600","396,000","CANAL+BANK+SCHEME,LAHORE+,PAKISTAN"
CANAL POINT (SALAMAT PURA),"288,000","396,000","CANAL+POINT+(SALAMAT+PURA),LAHORE+,PAKISTAN"
CANAL VIEW SCHEME,"230,400","345,600","CANAL+VIEW+SCHEME,LAHORE+,PAKISTAN"
DAROGHA WALA,"216,000","360,000","DAROGHA+WALA,LAHORE+,PAKISTAN"
DAROGHA WALA CHOWK TO RING. ROADMEHMOOD BOOTI,"259,200","712,800","DAROGHA+WALA+CHOWK+TO+RING.+ROADMEHMOOD+BOOTI,LAHORE+,PAKISTAN"
GULSHAN SHALIMAR SCHEME,"259,200","446,400","GULSHAN+SHALIMAR+SCHEME,LAHORE+,PAKISTAN"
GULSHAN E DAWOOD,"172,800","201,600","GULSHAN+E+DAWOOD,LAHORE+,PAKISTAN"
GULSHAN E HAIDER,"266,400","360,000","GULSHAN+E+HAIDER,LAHORE+,PAKISTAN"
GULSH&N E YASIN,"158,400","187,200","GULSH&N+E+YASIN,LAHORE+,PAKISTAN"
HAN IF PARK,"266,400","360,000","HAN+IF+PARK,LAHORE+,PAKISTAN"
"IBL HOMES, JALLO TOWN","180,000","244,800","IBL+HOMES,+JALLO+TOWN,LAHORE+,PAKISTAN"
KOTLI GHASI,"187,200","259,200","KOTLI+GHASI,LAHORE+,PAKISTAN"
LAHORE MEDICAL SCHEME ALL PHASES,"266,400","360,000","LAHORE+MEDICAL+SCHEME+ALL+PHASES,LAHORE+,PAKISTAN"
LAHORE RING ROAD FALLING WAHGA TOWN,"388,800","417,600","LAHORE+RING+ROAD+FALLING+WAHGA+TOWN,LAHORE+,PAKISTAN"
LIDHAR,"302,400","432,000","LIDHAR,LAHORE+,PAKISTAN"
MAIN GT ROAD FROM SUKH NEHAR IU VA/ARASATTAR,"648,000","806,400","MAIN+GT+ROAD+FROM+SUKH+NEHAR+IU+VA/ARASATTAR,LAHORE+,PAKISTAN"
MASUDAN PURA,"216,000","360,000","MASUDAN+PURA,LAHORE+,PAKISTAN"
MEHMOOD BOOTI,"216,000","388,800","MEHMOOD+BOOTI,LAHORE+,PAKISTAN"
MOEEZ TOWN,"266,400","360,000","MOEEZ+TOWN,LAHORE+,PAKISTAN"
MOMAN PURA,"230,400","417,600","MOMAN+PURA,LAHORE+,PAKISTAN"
NEW SHALIMAR SCHEME (SALAMAT PURA),"295,200","403,200","NEW+SHALIMAR+SCHEME+(SALAMAT+PURA),LAHORE+,PAKISTAN"
QILA KHAZANA,"180,000","345,600","QILA+KHAZANA,LAHORE+,PAKISTAN"
RIZWAN GARDEST,"288,000","410,400","RIZWAN+GARDEST,LAHORE+,PAKISTAN"
SALAMAT PURA,"216,000","360,000","SALAMAT+PURA,LAHORE+,PAKISTAN"
SHADI PURA,"201,600","360,000","SHADI+PURA,LAHORE+,PAKISTAN"
SHALIMAR TOWN BAGHBANPURA,"288,000","648,000","SHALIMAR+TOWN+BAGHBANPURA,LAHORE+,PAKISTAN"
SHARIF GARDEN,"252,000","468,000","SHARIF+GARDEN,LAHORE+,PAKISTAN"
SULTAN MAHMOOD ROAD (BAGHBANPURA UC3-7 & 38),"288,000","446,400","SULTAN+MAHMOOD+ROAD+(BAGHBANPURA+UC3-7+&+38),LAHORE+,PAKISTAN"
TUFAIL GARDEN,"158,400","216,000","TUFAIL+GARDEN,LAHORE+,PAKISTAN"
WARA SATTAR TO JALLO MORE (CANAL BRBBRIDGE),"432,000","432,000","WARA+SATTAR+TO+JALLO+MORE+(CANAL+BRBBRIDGE),LAHORE+,PAKISTAN"
PACE WOOD LAND (BEDIAN ROAD),"194,400","288,000","PACE+WOOD+LAND+(BEDIAN+ROAD),LAHORE+,PAKISTAN"
YOUNIS GARDEN,"194,400","288,000","YOUNIS+GARDEN,LAHORE+,PAKISTAN"
EDEN GARDEN,"187,200","316,800","EDEN+GARDEN,LAHORE+,PAKISTAN"
MALIK IRFAN GARDEN,"187,200","316,800","MALIK+IRFAN+GARDEN,LAHORE+,PAKISTAN"
KANAL FORTS ALL PHASES,"252,000","388,800","KANAL+FORTS+ALL+PHASES,LAHORE+,PAKISTAN"
SAJID GARDEN,"187,200","316,800","SAJID+GARDEN,LAHORE+,PAKISTAN"
NOOR GARDEN,"158,400","244,800","NOOR+GARDEN,LAHORE+,PAKISTAN"
GLOBAL VILLAGE,"180,000","244,800","GLOBAL+VILLAGE,LAHORE+,PAKISTAN"
GHOUS GARDEN ALL PHASES,"230,400","403,200","GHOUS+GARDEN+ALL+PHASES,LAHORE+,PAKISTAN"
BILAL GANG HOUSING SCHEME,"259,200","331,200","BILAL+GANG+HOUSING+SCHEME,LAHORE+,PAKISTAN"
NEW JEVAN YADGAR HOUSING SCHEME,"259,200","331,200","NEW+JEVAN+YADGAR+HOUSING+SCHEME,LAHORE+,PAKISTAN"
AL WADOOD GARDEN,"259,200","331,200","AL+WADOOD+GARDEN,LAHORE+,PAKISTAN"
BISMILLAH HOUSING SCHEME,"273,600","403,200","BISMILLAH+HOUSING+SCHEME,LAHORE+,PAKISTAN"
ROYAL VIEW GARDEN,"252,000","316,800","ROYAL+VIEW+GARDEN,LAHORE+,PAKISTAN"
MASHALLAH HOUSING SCHEME,"252,000","316,800","MASHALLAH+HOUSING+SCHEME,LAHORE+,PAKISTAN"
ISMAIL BLOCK,"252,000","316,800","ISMAIL+BLOCK,LAHORE+,PAKISTAN"
AL-HAFEEZ GARDEN,"252,000","388,800","AL-HAFEEZ+GARDEN,LAHORE+,PAKISTAN"
GREEN VLLLAS,"244,800","388,800","GREEN+VLLLAS,LAHORE+,PAKISTAN"
WARA GUJAR TO WAHGA CHOKI,"417,600","547,200","WARA+GUJAR+TO+WAHGA+CHOKI,LAHORE+,PAKISTAN"
GREEN LAND HOUSING SCHEME,"201,600","316,800","GREEN+LAND+HOUSING+SCHEME,LAHORE+,PAKISTAN"
ALI TOWN,"201,600","316,800","ALI+TOWN,LAHORE+,PAKISTAN"
AL KHAIR TOWN HOUSING SCHEME,"172,800","244,800","AL+KHAIR+TOWN+HOUSING+SCHEME,LAHORE+,PAKISTAN"
SKY LAND-TOWN HOUSING SCHEME,"172,800","244,800","SKY+LAND-TOWN+HOUSING+SCHEME,LAHORE+,PAKISTAN"
GARISION GARDEN (KOTLI (BHASI),"266,400","360,000","GARISION+GARDEN+(KOTLI+(BHASI),LAHORE+,PAKISTAN"
SHALIMAR VEIW TOWN HOUSING SCHEME(MEHMOOD BOOTI),"237,600","374,400","SHALIMAR+VEIW+TOWN+HOUSING+SCHEME(MEHMOOD+BOOTI),LAHORE+,PAKISTAN"
AM FARMS (PVT) LTD (BAGARIAN DHARAMCHAND),"179,400","327,600","AM+FARMS+(PVT)+LTD+(BAGARIAN+DHARAMCHAND),LAHORE+,PAKISTAN"
AAB PARA SCHEME (AMEERPURA),"234,000","421,200","AAB+PARA+SCHEME+(AMEERPURA),LAHORE+,PAKISTAN"
ACCOUNTS OFFICER COOP SOCIETY BAGARIANDHARAM CHAND),"280,800","499,200","ACCOUNTS+OFFICER+COOP+SOCIETY+BAGARIANDHARAM+CHAND),LAHORE+,PAKISTAN"
AKHTER STATE (ATTARI SAROBA),"528,000","660,000","AKHTER+STATE+(ATTARI+SAROBA),LAHORE+,PAKISTAN"
AL AMEEN CO OPSOCIETY (LIDHER),"280,800","499,200","AL+AMEEN+CO+OPSOCIETY+(LIDHER),LAHORE+,PAKISTAN"
AL FALAH TOWN (CHANDRAI),"462,000","627,000","AL+FALAH+TOWN+(CHANDRAI),LAHORE+,PAKISTAN"
ALI VIEW GARDEN (KEER KHURD),"327,600","561,600","ALI+VIEW+GARDEN+(KEER+KHURD),LAHORE+,PAKISTAN"
AL NOOR TOWN (AMER SADHU) WCB,"396,000","448,800","AL+NOOR+TOWN+(AMER+SADHU)+WCB,LAHORE+,PAKISTAN"
AMAR SIDHU & ADJOINING ABADIS,"396,000","924,000","AMAR+SIDHU+&+ADJOINING+ABADIS,LAHORE+,PAKISTAN"
AMEERPURA & ALL OTHER SOCIETY,"257,400","585,000","AMEERPURA+&+ALL+OTHER+SOCIETY,LAHORE+,PAKISTAN"
ANMOL COOP SOCIETY (BALHAR & DEV KHURD,"285,000","594,000","ANMOL+COOP+SOCIETY+(BALHAR+&+DEV+KHURD,LAHORE+,PAKISTAN"
ASIF TOWN (GAJJUMATA),"264,000","594,000","ASIF+TOWN+(GAJJUMATA),LAHORE+,PAKISTAN"
ATARI SAROBA & ADJOINING ABADIS,"330,600","726,000","ATARI+SAROBA+&+ADJOINING+ABADIS,LAHORE+,PAKISTAN"
AUDIT & ACCOUNT COOP. SOCIETY (KACHHASADHOKI SIDHER),"396,000","660,000","AUDIT+&+ACCOUNT+COOP.+SOCIETY+(KACHHASADHOKI+SIDHER),LAHORE+,PAKISTAN"
AUKAF COLONY (BAGARIAN DHARAM CHAND),"234,000","421,200","AUKAF+COLONY+(BAGARIAN+DHARAM+CHAND),LAHORE+,PAKISTAN"
AWAN BROTHERS SOCIETY,"273,000","639,600","AWAN+BROTHERS+SOCIETY,LAHORE+,PAKISTAN"
AWAN COLONY (BAGARIAN DHARAM CHAND),"202,800","421,200","AWAN+COLONY+(BAGARIAN+DHARAM+CHAND),LAHORE+,PAKISTAN"
BABU MHAIR TOWN CHRISTIAN (LIDHER),"195,000","351,000","BABU+MHAIR+TOWN+CHRISTIAN+(LIDHER),LAHORE+,PAKISTAN"
BEDIAN ROAD (AHEAD BHATA CHOWK TOELITE CENTRE),"249,600","491,400","BEDIAN+ROAD+(AHEAD+BHATA+CHOWK+TOELITE+CENTRE),LAHORE+,PAKISTAN"
BEDIAN ROAD (R.A BAZAR TO BHATA CHOWK),"780,000","780,000","BEDIAN+ROAD+(R.A+BAZAR+TO+BHATA+CHOWK),LAHORE+,PAKISTAN"
BAGARIAN DHARAM CHAND,"234,000","351,000","BAGARIAN+DHARAM+CHAND,LAHORE+,PAKISTAN"
BALHAR,"228,000","514,800","BALHAR,LAHORE+,PAKISTAN"
BANKER COOP SOCIETY (KAMAHAN),"396,000","660,000","BANKER+COOP+SOCIETY+(KAMAHAN),LAHORE+,PAKISTAN"
CAVALRY GROUND (OLD & EXTENSION),"702,000","2,574,000","CAVALRY+GROUND+(OLD+&+EXTENSION),LAHORE+,PAKISTAN"
CHANDRAI,"264,000","594,000","CHANDRAI,LAHORE+,PAKISTAN"
CHARRAR & ADJOINING ABADIS,"382,200","600,600","CHARRAR+&+ADJOINING+ABADIS,LAHORE+,PAKISTAN"
CHUNG KHURD,"358,800","1,388,400","CHUNG+KHURD,LAHORE+,PAKISTAN"
COOP. SOCIETY LHG (BAGARIAN DHARAMCHAND),"156,000","265,200","COOP.+SOCIETY+LHG+(BAGARIAN+DHARAMCHAND),LAHORE+,PAKISTAN"
DEFENCE FORT SCHEME (PVT) (AMER SADHU)WCB,"343,200","764,400","DEFENCE+FORT+SCHEME+(PVT)+(AMER+SADHU)WCB,LAHORE+,PAKISTAN"
DEFENCE GARDEN,"552,000","717,600","DEFENCE+GARDEN,LAHORE+,PAKISTAN"
DEFENCE ROAD (BHOBATIAN TO KACHHAPHATAK),"195,000","405,600","DEFENCE+ROAD+(BHOBATIAN+TO+KACHHAPHATAK),LAHORE+,PAKISTAN"
DEV KHURD KALAN,"240,000","528,000","DEV+KHURD+KALAN,LAHORE+,PAKISTAN"
DEVELOPERS GROUPS SCHEME (KOREY),"312,000","717,600","DEVELOPERS+GROUPS+SCHEME+(KOREY),LAHORE+,PAKISTAN"
DHA BLOCKS Y & Z OF PHASE III,"921,600","3,816,000","DHA+BLOCKS+Y+&+Z+OF+PHASE+III,LAHORE+,PAKISTAN"
DUBAI TOWN (BHOBATIAN),"210,600","265,200","DUBAI+TOWN+(BHOBATIAN),LAHORE+,PAKISTAN"
DULU KALAN,"224,400","594,000","DULU+KALAN,LAHORE+,PAKISTAN"
DULU KHURD,"246,096","561,000","DULU+KHURD,LAHORE+,PAKISTAN"
EDEN COTTAGE ADJACENT DEFENCE .,"624,000","889,200","EDEN+COTTAGE+ADJACENT+DEFENCE+.,LAHORE+,PAKISTAN"
EDEN SCHEME(DULU KHURD/ GAJJUMATTA),"264,000","448,800","EDEN+SCHEME(DULU+KHURD/+GAJJUMATTA),LAHORE+,PAKISTAN"
EDEN SOCIETY (BAGARIAN DHARAM CHAND),"234,000","421,200","EDEN+SOCIETY+(BAGARIAN+DHARAM+CHAND),LAHORE+,PAKISTAN"
EDEN LINE VILLA (BHOBATIAN),"234,000","421,200","EDEN+LINE+VILLA+(BHOBATIAN),LAHORE+,PAKISTAN"
FAISAL TOWN (GAJJUMATTA),"264,000","594,000","FAISAL+TOWN+(GAJJUMATTA),LAHORE+,PAKISTAN"
FAROOQ COLONY (KOREY / AMER SADHU) WBC,"304,200","507,000","FAROOQ+COLONY+(KOREY+/+AMER+SADHU)+WBC,LAHORE+,PAKISTAN"
FEROZEPUR ROAD (KAHNA TO GULVEHRA),"528,000","660,000","FEROZEPUR+ROAD+(KAHNA+TO+GULVEHRA),LAHORE+,PAKISTAN"
FEROZEPUR ROAD (KOT LAKHPAT TOGAJJUMATTA),"1,320,000","1,848,000","FEROZEPUR+ROAD+(KOT+LAKHPAT+TOGAJJUMATTA),LAHORE+,PAKISTAN"
FEROZEPUR ROAD GANDA NALA TO AMERSIDHU,"1,056,000","2,112,000","FEROZEPUR+ROAD+GANDA+NALA+TO+AMERSIDHU,LAHORE+,PAKISTAN"
GAJJUMATTA & ADJOINING ABADIS,"330,000","462,000","GAJJUMATTA+&+ADJOINING+ABADIS,LAHORE+,PAKISTAN"
GHAUSIA COLONY (KOREY),"327,600","561,600","GHAUSIA+COLONY+(KOREY),LAHORE+,PAKISTAN"
GHAZI ROAD (FEROZEPUR ROAD TO JHATTACHOWK),"1,056,000","1,320,000","GHAZI+ROAD+(FEROZEPUR+ROAD+TO+JHATTACHOWK),LAHORE+,PAKISTAN"
GLAXO TOWN (DULU KHURD & KALAN),"198,000","448,800","GLAXO+TOWN+(DULU+KHURD+&+KALAN),LAHORE+,PAKISTAN"
GOLDEN EARTH (PVT) LTD. (BAGARIAN)HARAM CHAND),"234,000","390,000","GOLDEN+EARTH+(PVT)+LTD.+(BAGARIAN)HARAM+CHAND),LAHORE+,PAKISTAN"
GOVERNMENT TRANSPORT HQ COOP SOCIETY(BALHAR),"187,200","343,200","GOVERNMENT+TRANSPORT+HQ+COOP+SOCIETY(BALHAR),LAHORE+,PAKISTAN"
GREEN ACRE SCHEME (AMEER PURA),"234,000","390,000","GREEN+ACRE+SCHEME+(AMEER+PURA),LAHORE+,PAKISTAN"
GREEN CAP SCHEME (GAJJUMATTA),"264,000","303,600","GREEN+CAP+SCHEME+(GAJJUMATTA),LAHORE+,PAKISTAN"
GREEN TOWN,"358,800","686,400","GREEN+TOWN,LAHORE+,PAKISTAN"
GULSHAN E AH BAB PHASE II & SHADABCOLONY (CHANDRAI),"330,000","792,000","GULSHAN+E+AH+BAB+PHASE+II+&+SHADABCOLONY+(CHANDRAI),LAHORE+,PAKISTAN"
GULSHAN E AWAN SOCIETY (NANGER),"179,400","312,000","GULSHAN+E+AWAN+SOCIETY+(NANGER),LAHORE+,PAKISTAN"
GULSHAN E MUNIR SCHEME (GAJJUMATTA),"264,000","369,600","GULSHAN+E+MUNIR+SCHEME+(GAJJUMATTA),LAHORE+,PAKISTAN"
GULSTAN COLONY (AMER SIDHU),"396,000","726,000","GULSTAN+COLONY+(AMER+SIDHU),LAHORE+,PAKISTAN"
GULU KOT (DULU KALAN & KHURD),"303,600","422,400","GULU+KOT+(DULU+KALAN+&+KHURD),LAHORE+,PAKISTAN"
GURUMANGAT (WCB),"452,400","1,092,000","GURUMANGAT+(WCB),LAHORE+,PAKISTAN"
H.B.F.C SOCIETY (KAHAMAN / LEEL),"210,600","351,000","H.B.F.C+SOCIETY+(KAHAMAN+/+LEEL),LAHORE+,PAKISTAN"
HERPALKEY,"171,600","249,600","HERPALKEY,LAHORE+,PAKISTAN"
HUMZATOWN (DULU KHURD & KALAN),"303,600","475,200","HUMZATOWN+(DULU+KHURD+&+KALAN),LAHORE+,PAKISTAN"
I E.P.M SOCIETY.,"249,600","351,000","I+E.P.M+SOCIETY.,LAHORE+,PAKISTAN"
I .S.R.M COOP SOCIETY (BHOBATIAN),"179,400","265,200","I+.S.R.M+COOP+SOCIETY+(BHOBATIAN),LAHORE+,PAKISTAN"
I QBAL PARK & NEW IQBAL PARK (KOREY),"358,800","780,000","I+QBAL+PARK+&+NEW+IQBAL+PARK+(KOREY),LAHORE+,PAKISTAN"
I RRIGATION CO OP SOCIETY (CHANDRAI),"264,000","349,800","I+RRIGATION+CO+OP+SOCIETY+(CHANDRAI),LAHORE+,PAKISTAN"
I SLAMIC RESEARCH COOP SOCIETY(RHOBATIAN),"210,600","382,200","I+SLAMIC+RESEARCH+COOP+SOCIETY(RHOBATIAN),LAHORE+,PAKISTAN"
J ADHA TOWN (DULU KHURD & KALAN),"264,000","409,200","J+ADHA+TOWN+(DULU+KHURD+&+KALAN),LAHORE+,PAKISTAN"
J AIL ROAD (KATCHA TOWARDS CHUNGI),"264,000","686,400","J+AIL+ROAD+(KATCHA+TOWARDS+CHUNGI),LAHORE+,PAKISTAN"
J ATHOOL,"187,200","280,800","J+ATHOOL,LAHORE+,PAKISTAN"
K.C.H COOP SOCIETY (SADHOKI),"234,000","421,200","K.C.H+COOP+SOCIETY+(SADHOKI),LAHORE+,PAKISTAN"
I  K.E.M.C COOP SOCIETY (SADHOKI / -IHALLOKI),"202,800","343,200","I++K.E.M.C+COOP+SOCIETY+(SADHOKI+/+-IHALLOKI),LAHORE+,PAKISTAN"
!  KACI IA ROAD (KAHNA NAU TO #ALLWAYPHATAK KACHA),"297,000","528,000","!++KACI+IA+ROAD+(KAHNA+NAU+TO+#ALLWAYPHATAK+KACHA),LAHORE+,PAKISTAN"
KAHNA NAU (INSIDE TOWN COMMITTEE),"198,000","422,400","KAHNA+NAU+(INSIDE+TOWN+COMMITTEE),LAHORE+,PAKISTAN"
KAHNA NAU (OUTSIDE TOWN COMMITTEE),"171,600","421,200","KAHNA+NAU+(OUTSIDE+TOWN+COMMITTEE),LAHORE+,PAKISTAN"
KAMAHAN,"201,600","396,000","KAMAHAN,LAHORE+,PAKISTAN"
DHA RAHBAR SECTOR (SADHOKI),"304,200","436,800","DHA+RAHBAR+SECTOR+(SADHOKI),LAHORE+,PAKISTAN"
KEER KHURD,"273,000","499,200","KEER+KHURD,LAHORE+,PAKISTAN"
KHALID TOWN (GAJJUMATTA),"330,000","594,000","KHALID+TOWN+(GAJJUMATTA),LAHORE+,PAKISTAN"
KHALIQ NAGAR (DULU KHURD),"297,000","660,000","KHALIQ+NAGAR+(DULU+KHURD),LAHORE+,PAKISTAN"
KHAYABAN E AMIN (DULU KALAN),"396,000","660,000","KHAYABAN+E+AMIN+(DULU+KALAN),LAHORE+,PAKISTAN"
KHAYABAN E AMIN SCHEME (HALLOKI),"148,200","273,000","KHAYABAN+E+AMIN+SCHEME+(HALLOKI),LAHORE+,PAKISTAN"
KOH I NOOR SCHEME (AMER SIDHU) WCB,"296,400","702,000","KOH+I+NOOR+SCHEME+(AMER+SIDHU)+WCB,LAHORE+,PAKISTAN"
