,Unnamed: 0,hhcode,Province,Region,PSU,idc,first_job_income,second_job_income,psu,weight,district,stratum,code
10433,47174,2502102203.0,Punjab,Urban,25021022.0,1.0,60000.0,,25021022.0,2572.1415401659124,2502,LAHORE,2502.0
10434,47176,2502102204.0,Punjab,Urban,25021022.0,1.0,50000.0,,25021022.0,2572.1415401659124,2502,LAHORE,2502.0
10435,47180,2502102205.0,Punjab,Urban,25021022.0,1.0,100000.0,,25021022.0,2572.1415401659124,2502,LAHORE,2502.0
10436,47185,2502102206.0,Punjab,Urban,25021022.0,1.0,18000.0,,25021022.0,2572.1415401659124,2502,LAHORE,2502.0
10437,47186,2502102206.0,Punjab,Urban,25021022.0,2.0,22000.0,,25021022.0,2572.1415401659124,2502,LAHORE,2502.0
10438,47188,2502102207.0,Punjab,Urban,25021022.0,1.0,20000.0,,25021022.0,2572.1415401659124,2502,LAHORE,2502.0
10439,47190,2502102208.0,Punjab,Urban,25021022.0,1.0,25000.0,,25021022.0,2572.1415401659124,2502,LAHORE,2502.0
10440,47194,2502102209.0,Punjab,Urban,25021022.0,1.0,45000.0,,25021022.0,2572.1415401659124,2502,LAHORE,2502.0
10441,47200,2502102211.0,Punjab,Urban,25021022.0,1.0,15000.0,,25021022.0,2572.1415401659124,2502,LAHORE,2502.0
10442,47202,2502102601.0,Punjab,Urban,25021026.0,1.0,12000.0,,25021026.0,1652.3834879771161,2502,LAHORE,2502.0
10443,47205,2502102602.0,Punjab,Urban,25021026.0,1.0,13000.0,,25021026.0,1652.3834879771161,2502,LAHORE,2502.0
10444,47208,2502102603.0,Punjab,Urban,25021026.0,1.0,23000.0,,25021026.0,1652.3834879771161,2502,LAHORE,2502.0
10445,47211,2502102604.0,Punjab,Urban,25021026.0,1.0,20000.0,,25021026.0,1652.3834879771161,2502,LAHORE,2502.0
10446,47213,2502102606.0,Punjab,Urban,25021026.0,1.0,20000.0,,25021026.0,1652.3834879771161,2502,LAHORE,2502.0
10447,47217,2502102607.0,Punjab,Urban,25021026.0,1.0,31200.0,,25021026.0,1652.3834879771161,2502,LAHORE,2502.0
10448,47222,2502102609.0,Punjab,Urban,25021026.0,1.0,35000.0,,25021026.0,1652.3834879771161,2502,LAHORE,2502.0
10449,47225,2502102610.0,Punjab,Urban,25021026.0,1.0,45000.0,,25021026.0,1652.3834879771161,2502,LAHORE,2502.0
10450,47227,2502102611.0,Punjab,Urban,25021026.0,1.0,20000.0,,25021026.0,1652.3834879771161,2502,LAHORE,2502.0
10451,47228,2502102611.0,Punjab,Urban,25021026.0,2.0,30000.0,,25021026.0,1652.3834879771161,2502,LAHORE,2502.0
10452,47229,2502102611.0,Punjab,Urban,25021026.0,3.0,14000.0,,25021026.0,1652.3834879771161,2502,LAHORE,2502.0
10453,47236,2502102612.0,Punjab,Urban,25021026.0,51.0,6000.0,,25021026.0,1652.3834879771161,2502,LAHORE,2502.0
10454,47237,2502102612.0,Punjab,Urban,25021026.0,52.0,3000.0,,25021026.0,1652.3834879771161,2502,LAHORE,2502.0
10455,47245,2502103002.0,Punjab,Urban,25021030.0,2.0,150000.0,,25021030.0,1554.205956466025,2502,LAHORE,2502.0
10456,47252,2502103003.0,Punjab,Urban,25021030.0,1.0,26000.0,,25021030.0,1554.205956466025,2502,LAHORE,2502.0
10457,47254,2502103004.0,Punjab,Urban,25021030.0,1.0,29000.0,,25021030.0,1554.205956466025,2502,LAHORE,2502.0
10458,47259,2502103005.0,Punjab,Urban,25021030.0,1.0,80000.0,,25021030.0,1554.205956466025,2502,LAHORE,2502.0
10459,47269,2502103007.0,Punjab,Urban,25021030.0,1.0,30000.0,,25021030.0,1554.205956466025,2502,LAHORE,2502.0
10460,47271,2502103007.0,Punjab,Urban,25021030.0,51.0,1500.0,,25021030.0,1554.205956466025,2502,LAHORE,2502.0
10461,47273,2502103008.0,Punjab,Urban,25021030.0,1.0,16000.0,,25021030.0,1554.205956466025,2502,LAHORE,2502.0
10462,47276,2502103009.0,Punjab,Urban,25021030.0,1.0,24000.0,,25021030.0,1554.205956466025,2502,LAHORE,2502.0
10463,47278,2502103010.0,Punjab,Urban,25021030.0,1.0,19000.0,,25021030.0,1554.205956466025,2502,LAHORE,2502.0
10464,47279,2502103010.0,Punjab,Urban,25021030.0,51.0,4000.0,,25021030.0,1554.205956466025,2502,LAHORE,2502.0
10465,47281,2502103011.0,Punjab,Urban,25021030.0,1.0,23000.0,,25021030.0,1554.205956466025,2502,LAHORE,2502.0
10466,47282,2502103011.0,Punjab,Urban,25021030.0,2.0,12000.0,,25021030.0,1554.205956466025,2502,LAHORE,2502.0
10467,47286,2502103012.0,Punjab,Urban,25021030.0,1.0,18000.0,,25021030.0,1554.205956466025,2502,LAHORE,2502.0
10468,47287,2502103012.0,Punjab,Urban,25021030.0,2.0,16000.0,,25021030.0,1554.205956466025,2502,LAHORE,2502.0
10469,47291,2502103401.0,Punjab,Urban,25021034.0,1.0,18600.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10470,47294,2502103401.0,Punjab,Urban,25021034.0,51.0,3000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10471,47295,2502103401.0,Punjab,Urban,25021034.0,52.0,2000.0,10800.0,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10472,47296,2502103401.0,Punjab,Urban,25021034.0,53.0,500.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10473,47297,2502103401.0,Punjab,Urban,25021034.0,54.0,500.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10474,47298,2502103402.0,Punjab,Urban,25021034.0,1.0,27000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10475,47299,2502103402.0,Punjab,Urban,25021034.0,2.0,25000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10476,47302,2502103403.0,Punjab,Urban,25021034.0,1.0,45000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10477,47307,2502103403.0,Punjab,Urban,25021034.0,52.0,2000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10478,47309,2502103404.0,Punjab,Urban,25021034.0,1.0,28000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10479,47311,2502103404.0,Punjab,Urban,25021034.0,51.0,8000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10480,47312,2502103405.0,Punjab,Urban,25021034.0,1.0,25000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10481,47313,2502103405.0,Punjab,Urban,25021034.0,2.0,15000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10482,47314,2502103405.0,Punjab,Urban,25021034.0,3.0,12000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10483,47317,2502103406.0,Punjab,Urban,25021034.0,1.0,20000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10484,47321,2502103407.0,Punjab,Urban,25021034.0,1.0,40000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10485,47323,2502103408.0,Punjab,Urban,25021034.0,1.0,15000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10486,47324,2502103408.0,Punjab,Urban,25021034.0,2.0,3000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10487,47325,2502103408.0,Punjab,Urban,25021034.0,51.0,8000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10488,47326,2502103408.0,Punjab,Urban,25021034.0,52.0,2000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10489,47327,2502103409.0,Punjab,Urban,25021034.0,1.0,15000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10490,47331,2502103410.0,Punjab,Urban,25021034.0,1.0,22000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10491,47334,2502103411.0,Punjab,Urban,25021034.0,1.0,40000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10492,47338,2502103411.0,Punjab,Urban,25021034.0,52.0,15000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10493,47340,2502103412.0,Punjab,Urban,25021034.0,1.0,29000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10494,47342,2502103412.0,Punjab,Urban,25021034.0,51.0,16000.0,,25021034.0,1495.8400288618664,2502,LAHORE,2502.0
10495,47344,2502103801.0,Punjab,Urban,25021038.0,1.0,6000.0,,25021038.0,1498.1831366764998,2502,LAHORE,2502.0
